Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,Calado arribo,Calado diff,covid_era,atraque_hour_sin,atraque_hour_cos,atraque_dayofweek_sin,atraque_dayofweek_cos,atraque_month_sin,atraque_month_cos
Dry Bulk,31538,SAN LORENZO,BAHIA BLANCA,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,104.66666666666669,9.23,4.34,during,0.258819,-0.965926,0.0,1.0,0.5,-0.866025
Container,76185,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,49.68333333333333,12.7,0.3,during,-0.965926,-0.258819,0.0,1.0,0.5,-0.866025
Dry Bulk,35812,ANTOFAGASTA,BALBOA,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,70.33333333333333,5.9,1.05,during,-0.866025,-0.5,0.433884,-0.900969,0.5,-0.866025
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,52.41666666666666,6.505,0.0,during,-1.0,-0.0,0.974928,-0.222521,0.5,-0.866025
Container,141754,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,23.666666666666668,12.35,2.85,during,-0.707107,0.707107,-0.974928,-0.222521,0.5,-0.866025
Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,23.416666666666668,5.05,-0.805,during,-0.965926,0.258819,0.974928,-0.222521,0.5,-0.866025
Container,90757,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,32.916666666666664,13.0,0.55,during,1.0,0.0,-0.974928,-0.222521,0.5,-0.866025
Container,94623,CALLAO,CALLAO,80925100-4 - SOMARCO,Sitio 4/5,COSCO GROUP,Eurosal,46.98333333333333,10.375,-0.675,during,0.707107,-0.707107,0.433884,-0.900969,0.5,-0.866025
Container,92198,BALBOA,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,29.83333333333333,11.65,3.4,during,-0.5,0.866025,-0.781831,0.62349,0.5,-0.866025
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,71.75,12.85,-0.05,during,1.0,0.0,0.781831,0.62349,0.5,-0.866025
Vehicle Carrier,72269,SANTOS - SP,CALLAO,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,47.516666666666666,8.9,0.95,during,0.0,1.0,-0.974928,-0.222521,0.5,-0.866025
Container,39905,RIO GRANDE - RS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,U4Gabac,19.28333333333333,11.65,-0.05,during,-0.866025,0.5,-0.781831,0.62349,0.5,-0.866025
Vehicle Carrier,57484,ZEEBRUGGE,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,NYK,CAR CARRIERS,30.683333333333334,9.2,0.65,during,0.0,-1.0,0.0,1.0,0.5,-0.866025
Vehicle Carrier,51699,BUENAVENTURA,BALBOA,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,23.4,8.3,0.85,during,-0.5,-0.866025,-0.974928,-0.222521,0.5,-0.866025
Container,90757,CALLAO,HONG KONG,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA,46.333333333333336,11.0,0.2,during,-0.965926,-0.258819,0.0,1.0,0.5,-0.866025
Vehicle Carrier,76299,BALBOA,YOKOHAMA - KANAGAWA,96566940-k - AGUNSA,Sitio 4/5,KLINE,ALEX,78.35,9.1,1.5,during,0.0,1.0,0.433884,-0.900969,0.5,-0.866025
Dry Bulk,35812,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,74.5,9.72,3.705,during,-0.258819,-0.965926,0.0,1.0,0.5,-0.866025
Container,16162,TALCAHUANO,ANGAMOS,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,19.7,5.85,-2.7,during,-0.866025,0.5,0.0,1.0,0.5,-0.866025
Dry Bulk,22385,SAN LORENZO,SAN ANTONIO - CL,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,49.516666666666666,9.2,4.0,during,-0.5,-0.866025,0.0,1.0,0.5,-0.866025
Vehicle Carrier,60975,ZARATE,IQUIQUE,80992000-3 - ULTRAMAR,Sitio 4/5,MOL,NASS,10.666666666666666,8.69,0.62,during,0.0,-1.0,0.974928,-0.222521,0.5,-0.866025
Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,89.33333333333333,9.9,-0.475,during,-0.5,0.866025,0.974928,-0.222521,0.5,-0.866025
Dry Bulk,34769,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,75.75,9.79,4.165,during,-0.965926,-0.258819,0.433884,-0.900969,0.5,-0.866025
Container,37113,ARICA,BAHIA BLANCA,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,U4Gabac,45.91666666666666,8.95,-0.1,during,0.965926,0.258819,-0.433884,-0.900969,0.5,-0.866025
Dry Bulk,22385,SAN LORENZO,SAN ANTONIO - CL,96566940-k - AGUNSA,C1,NON-LINER,NO SERVICE,15.833333333333334,9.2,4.0,during,0.965926,-0.258819,-0.781831,0.62349,0.5,-0.866025
Dry Bulk,24331,ROSARIO,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,69.66666666666667,9.29,4.225,during,-0.5,0.866025,-0.781831,0.62349,0.5,-0.866025
Container,90757,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,32.75,12.5,-0.1,during,0.707107,-0.707107,-0.781831,0.62349,0.5,-0.866025
Container,141754,CORONEL,MANZANILLO - MX,96707720-8 - MSC,Sitio 1,MSC,Andes,45.333333333333336,13.1,0.0,during,0.866025,-0.5,-0.433884,-0.900969,0.5,-0.866025
Container,39106,RIO GRANDE - RS,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,33.916666666666664,12.4,-0.1,during,0.5,-0.866025,-0.781831,0.62349,0.5,-0.866025
Vehicle Carrier,59550,IQUIQUE,BUSAN,96566940-k - AGUNSA,Sitio 4/5,NYK,CAR CARRIERS,35.516666666666666,8.4,0.45,during,-0.866025,-0.5,0.974928,-0.222521,0.0,-1.0
Container,93685,VALPARAISO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,29.08333333333333,11.015,-0.885,during,0.258819,0.965926,0.0,1.0,0.5,-0.866025
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,79.0,9.6,-1.65,during,1.0,0.0,0.974928,-0.222521,0.0,-1.0
Dry Bulk,23268,CORONEL,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,49.25,6.88,0.0,during,-0.707107,0.707107,0.974928,-0.222521,0.0,-1.0
Container,93685,VALPARAISO,HONG KONG,80992000-3 - ULTRAMAR,C2,NON-LINER,NO SERVICE,29.566666666666663,11.015,-0.885,during,-0.258819,-0.965926,0.781831,0.62349,0.0,-1.0
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,51.5,13.0,0.7,during,-0.965926,0.258819,0.0,1.0,0.5,-0.866025
Container,113042,CALLAO,CORONEL,96566940-k - AGUNSA,Sitio 1,ONE,AX2,39.25,12.8,3.1,during,-0.258819,0.965926,0.974928,-0.222521,0.0,-1.0
Container,141635,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,36.083333333333336,12.3,2.1,during,-0.866025,-0.5,-0.433884,-0.900969,0.0,-1.0
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,37.91666666666666,6.3,-4.685,during,0.258819,-0.965926,-0.781831,0.62349,0.5,-0.866025
Dry Bulk,31222,SAN LORENZO,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,88.16666666666667,9.715,4.365,during,0.0,1.0,-0.974928,-0.222521,0.0,-1.0
Dry Bulk,22385,SAN LORENZO,SAN ANTONIO - CL,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,65.98333333333333,9.2,4.0,during,0.707107,-0.707107,-0.974928,-0.222521,0.0,-1.0
Container,90757,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,39.333333333333336,12.7,1.05,during,0.0,-1.0,-0.974928,-0.222521,0.0,-1.0
Container,53481,SAN VICENTE,CALLAO,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,U4Gabac,25.0,12.6,0.42,during,-0.258819,-0.965926,-0.781831,0.62349,0.0,-1.0
Container,69246,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,43.0,12.0,0.35,during,-0.707107,0.707107,0.0,1.0,0.5,-0.866025
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,27.0,13.0,0.7,during,-0.707107,-0.707107,0.0,1.0,0.0,-1.0
Vehicle Carrier,42401,ZARATE,IQUIQUE,80992000-3 - ULTRAMAR,Sitio 4/5,MOL,NASS,21.08333333333333,7.49,0.785,during,0.965926,-0.258819,0.0,1.0,0.0,-1.0
Container,50686,ARICA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,84Q ATACAMA FEEDER,14.5,9.8,1.1,during,1.0,0.0,0.781831,0.62349,0.0,-1.0
Container,6406,LIRQUEN,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 2,other_liners,CABOTAJE,18.83333333333333,5.18,-0.96,during,-0.965926,-0.258819,0.974928,-0.222521,0.0,-1.0
Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,54.56666666666667,9.965,-0.335,during,0.258819,0.965926,0.433884,-0.900969,0.0,-1.0
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,91.13333333333334,9.8,-2.19,during,0.866025,0.5,-0.974928,-0.222521,0.0,-1.0
Container,95256,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,Sitio 4/5,CMA CGM,Eurosal,12.633333333333333,10.7,0.3,during,-0.258819,-0.965926,0.781831,0.62349,0.0,-1.0
Vehicle Carrier,75528,CALLAO,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,KLINE,ALEX,61.4,8.85,0.95,during,0.965926,0.258819,-0.974928,-0.222521,0.0,-1.0
Dry Bulk,32360,BAHIA BLANCA,BAHIA BLANCA,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,13.166666666666666,11.175,5.775,during,0.258819,-0.965926,0.781831,0.62349,0.0,-1.0
Container,95256,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,C2,CMA CGM,Eurosal,67.61666666666666,10.7,0.3,during,0.258819,0.965926,-0.781831,0.62349,0.0,-1.0
Dry Bulk,7460,BARQUITO,BARQUITO,96566940-k - AGUNSA,Sitio 3,NON-LINER,NO SERVICE,69.66666666666667,5.7,1.2,during,-0.965926,0.258819,0.781831,0.62349,0.0,-1.0
Liquid Bulk,15659,VALPARAISO,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,39.266666666666666,6.315,-4.675,during,0.5,0.866025,0.0,1.0,0.0,-1.0
Container,48338,RIO GRANDE - RS,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,24.166666666666668,12.17,0.12,during,0.707107,0.707107,0.781831,0.62349,0.0,-1.0
Container,91499,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,22.75,12.05,1.7,during,0.866025,-0.5,0.781831,0.62349,0.0,-1.0
Container,53481,ANTOFAGASTA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,U4Gabac,18.416666666666668,10.75,1.25,during,0.5,0.866025,-0.781831,0.62349,0.0,-1.0
Dry Bulk,31749,CORONEL,BALBOA,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,46.13333333333333,7.445,2.005,during,-0.707107,-0.707107,-0.974928,-0.222521,0.0,-1.0
Liquid Bulk,16452,MEJILLONES,QUINTERO,82728500-5 - IAN TAYLOR,Sitio 9,NON-LINER,NO SERVICE,6.916666666666667,6.5,0.4,during,0.866025,-0.5,-0.433884,-0.900969,-0.5,-0.866025
Liquid Bulk,16452,MEJILLONES,QUINTERO,82728500-5 - IAN TAYLOR,Sitio 9,NON-LINER,NO SERVICE,6.25,6.5,0.4,during,0.0,1.0,-0.974928,-0.222521,-0.5,-0.866025
Dry Bulk,33193,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,87.41666666666667,9.55,4.375,during,-1.0,-0.0,-0.433884,-0.900969,0.0,-1.0
Container,141635,CORONEL,CALLAO,96707720-8 - MSC,Sitio 1,MSC,Andes,50.41666666666666,12.7,2.2,during,0.866025,0.5,-0.781831,0.62349,0.0,-1.0
Vehicle Carrier,65697,KWANGYANG,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,94.75,8.85,1.05,during,0.965926,0.258819,0.781831,0.62349,0.0,-1.0
Container,98882,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,43.333333333333336,12.3,1.0,during,0.965926,0.258819,0.0,1.0,0.0,-1.0
Container,39905,ARICA,PUERTO MADRYN,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,U4Gabac,24.5,9.3,0.8,during,0.258819,0.965926,0.0,1.0,0.0,-1.0
Container,76185,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,47.41666666666666,11.6,0.3,during,0.866025,0.5,0.974928,-0.222521,0.0,-1.0
Liquid Bulk,16458,QUINTERO,GUAYAQUIL,82728500-5 - IAN TAYLOR,Sitio 9,NON-LINER,NO SERVICE,9.533333333333331,5.3,0.1,during,0.707107,-0.707107,0.974928,-0.222521,0.0,-1.0
Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,72.95,9.6,0.1,during,-0.5,0.866025,0.781831,0.62349,0.0,-1.0
Container,92198,MEJILLONES,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,70.16666666666667,12.2,0.0,during,0.866025,-0.5,0.974928,-0.222521,0.0,-1.0
Dry Bulk,35487,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,87.83333333333333,9.3,3.555,during,0.5,0.866025,0.974928,-0.222521,0.0,-1.0
Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,27.08333333333333,4.535,-2.245,during,1.0,0.0,-0.433884,-0.900969,0.0,-1.0
Dry Bulk,32360,BAHIA BLANCA,BAHIA BLANCA,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,125.66666666666669,11.175,5.775,during,-0.965926,0.258819,-0.974928,-0.222521,0.0,-1.0
Liquid Bulk,13061,SAN LORENZO,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,NON-LINER,NO SERVICE,16.916666666666668,9.1,0.375,during,-1.0,-0.0,-0.433884,-0.900969,0.0,-1.0
Vehicle Carrier,57542,SHANGHAI,ULSAN,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,115.41666666666669,8.9,1.55,during,-0.866025,0.5,-0.974928,-0.222521,0.0,-1.0
Dry Bulk,21265,CORONEL,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,53.95,7.05,1.44,during,0.5,0.866025,-0.433884,-0.900969,0.0,-1.0
Container,113042,CORONEL,MANZANILLO - MX,96566940-k - AGUNSA,Sitio 1,ONE,AX2,63.73333333333333,13.8,1.2,during,0.866025,-0.5,-0.974928,-0.222521,0.0,-1.0
General Cargo,9611,PUERTO MONTT,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 2,NON-LINER,NO SERVICE,18.0,5.04,-0.01,during,0.5,-0.866025,-0.974928,-0.222521,0.0,-1.0
Liquid Bulk,21231,QUINTERO,BAHIA BLANCA,78986820-4 - B&M,Sitio 3,NON-LINER,NO SERVICE,11.616666666666667,7.75,0.85,during,0.0,-1.0,-0.974928,-0.222521,0.0,-1.0
Vehicle Carrier,58767,ZARATE,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,other_liners,NO SERVICE,55.8,9.3,0.47,during,-1.0,-0.0,0.433884,-0.900969,0.0,-1.0
Liquid Bulk,21231,QUINTERO,BAHIA BLANCA,78986820-4 - B&M,Sitio 9,NON-LINER,NO SERVICE,15.7,7.75,0.85,during,0.0,1.0,-0.781831,0.62349,0.0,-1.0
Dry Bulk,33044,SAN LORENZO,PUERTO MONTT,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,9.25,12.3,0.0,during,-0.866025,-0.5,-0.974928,-0.222521,0.0,-1.0
Dry Bulk,23506,GUAYAQUIL,BALBOA,80992000-3 - ULTRAMAR,C1,NON-LINER,NO SERVICE,76.35,9.5,0.0,during,-0.866025,0.5,0.433884,-0.900969,0.0,-1.0
Vehicle Carrier,53240,SHANGHAI,TIANJIN,80925100-4 - SOMARCO,Sitio 4/5,NON-LINER,NO SERVICE,102.91666666666669,8.8,1.05,during,0.965926,0.258819,-0.781831,0.62349,0.0,-1.0
Container,48338,ARICA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,84Q ATACAMA FEEDER,17.7,8.5,-0.5,during,-0.707107,0.707107,-0.433884,-0.900969,0.0,-1.0
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,65.63333333333334,10.0,-1.0,during,-0.5,-0.866025,-0.974928,-0.222521,0.0,-1.0
Dry Bulk,32964,SAN LORENZO,PATILLOS,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,137.66666666666666,11.525,5.575,during,0.258819,0.965926,0.433884,-0.900969,-0.5,-0.866025
Container,39106,ARICA,PUERTO MADRYN,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,22.83333333333333,8.4,1.0,during,0.965926,0.258819,-0.781831,0.62349,0.0,-1.0
Container,6406,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,48.91666666666666,4.92,-1.28,during,-0.5,-0.866025,0.781831,0.62349,0.0,-1.0
Dry Bulk,23506,GUAYAQUIL,BALBOA,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,33.333333333333336,9.5,0.0,during,0.965926,0.258819,0.0,1.0,0.0,-1.0
Container,54778,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,29.916666666666668,11.0,-1.3,during,0.965926,-0.258819,0.0,1.0,0.0,-1.0
Dry Bulk,23440,SAN LORENZO,PATILLOS,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,79.5,9.31,3.71,during,-0.965926,-0.258819,-0.781831,0.62349,0.0,-1.0
Dry Bulk,23506,GUAYAQUIL,BALBOA,80992000-3 - ULTRAMAR,C1,NON-LINER,NO SERVICE,41.98333333333333,9.5,0.0,during,1.0,0.0,0.433884,-0.900969,-0.5,-0.866025
Container,118945,CALLAO,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,128.56666666666666,10.45,0.4,during,0.707107,-0.707107,0.781831,0.62349,0.0,-1.0
Liquid Bulk,11773,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,NON-LINER,NO SERVICE,30.166666666666668,4.94,-4.53,during,-0.707107,-0.707107,-0.781831,0.62349,0.0,-1.0
Container,95128,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,118.75,9.85,0.6,during,0.258819,0.965926,0.781831,0.62349,0.0,-1.0
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,48.28333333333333,8.6,-3.4,during,1.0,0.0,0.0,1.0,0.0,-1.0
Container,94440,ANGAMOS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 4/5,CMA CGM,Eurosal,67.46666666666667,10.9,2.75,during,-0.707107,0.707107,0.781831,0.62349,0.0,-1.0
Container,18480,MEJILLONES,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,other_services,50.583333333333336,8.85,1.775,during,-0.866025,-0.5,0.781831,0.62349,0.0,-1.0
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,61.083333333333336,12.65,0.35,during,0.0,1.0,0.0,1.0,0.0,-1.0
Container,141635,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,46.18333333333333,11.8,3.65,during,-0.258819,0.965926,0.974928,-0.222521,0.0,-1.0
Container,51364,TALCAHUANO,CALLAO,80992000-3 - ULTRAMAR,Sitio 1,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,21.416666666666668,13.0,0.15,during,0.258819,0.965926,-0.781831,0.62349,0.0,-1.0
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,TRANSMARES,CABOTAJE SUR,42.583333333333336,6.465,-4.435,during,0.965926,-0.258819,-0.433884,-0.900969,0.0,-1.0
Container,98830,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,40.25,12.1,0.7,during,-0.866025,0.5,-0.781831,0.62349,0.0,-1.0
Container,99995,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,54.25,12.325,0.815,during,-0.258819,0.965926,0.781831,0.62349,0.0,-1.0
Vehicle Carrier,60825,SHANGHAI,ULSAN,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,64.33333333333333,9.0,1.8,during,-0.866025,0.5,0.433884,-0.900969,-0.5,-0.866025
Vehicle Carrier,64546,other_origins,CALLAO,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,74.46666666666667,8.7,0.8,during,-1.0,-0.0,-0.433884,-0.900969,-0.5,-0.866025
Vehicle Carrier,58329,ZEEBRUGGE,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,NYK,CAR CARRIERS,33.03333333333333,9.0,1.1,during,-0.866025,0.5,0.0,1.0,-0.5,-0.866025
Container,90645,CALLAO,LIRQUEN,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,79.66666666666667,9.425,-0.475,during,0.965926,-0.258819,-0.433884,-0.900969,-0.5,-0.866025
Vehicle Carrier,59217,SAN VICENTE,CALLAO,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,56.16666666666666,8.26,0.21,during,0.965926,-0.258819,0.974928,-0.222521,-0.5,-0.866025
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,128.16666666666666,12.725,1.125,during,0.707107,-0.707107,0.433884,-0.900969,-0.5,-0.866025
Vehicle Carrier,43810,IQUIQUE,YOKOHAMA - KANAGAWA,96566940-k - AGUNSA,Sitio 4/5,NYK,CAR CARRIERS,23.216666666666665,8.09,0.8,during,0.965926,0.258819,-0.433884,-0.900969,-0.5,-0.866025
Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,29.416666666666668,5.85,-0.72,during,-0.866025,-0.5,0.0,1.0,-0.5,-0.866025
Dry Bulk,22385,SAN LORENZO,CALLAO,96566940-k - AGUNSA,Sitio 8,NON-LINER,NO SERVICE,87.91666666666667,9.205,3.76,during,-0.5,0.866025,0.0,1.0,-0.5,-0.866025
Container,141000,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,83.16666666666667,12.725,0.81,during,-1.0,-0.0,0.781831,0.62349,-0.5,-0.866025
Container,53481,RIO GRANDE - RS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,U4Gabac,38.583333333333336,12.9,-0.3,during,-0.258819,-0.965926,-0.433884,-0.900969,-0.5,-0.866025
Container,141754,CALLAO,LIRQUEN,96707720-8 - MSC,Sitio 1,NON-LINER,NO SERVICE,55.5,13.25,2.95,during,-0.258819,0.965926,0.0,1.0,-0.5,-0.866025
Vehicle Carrier,58939,other_origins,ZARATE,80992000-3 - ULTRAMAR,Sitio 4/5,MOL,NASS,34.11666666666667,8.73,0.145,during,-1.0,-0.0,0.781831,0.62349,-0.5,-0.866025
Dry Bulk,23230,PUERTO MONTT,VALPARAISO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,62.5,7.86,2.25,during,-0.707107,0.707107,0.781831,0.62349,-0.5,-0.866025
Container,95680,VALPARAISO,CALLAO,82728500-5 - IAN TAYLOR,Sitio 4/5,CMA CGM,Eurosal,20.83333333333333,8.45,0.05,during,0.965926,-0.258819,-0.433884,-0.900969,-0.5,-0.866025
Dry Bulk,23232,CALLAO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 4/5,NON-LINER,NO SERVICE,75.66666666666667,10.54,5.44,during,0.5,-0.866025,0.781831,0.62349,-0.5,-0.866025
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,37.583333333333336,6.22,-3.875,during,-1.0,-0.0,0.0,1.0,-0.5,-0.866025
Container,90645,CALLAO,HONG KONG,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA,18.75,12.15,0.35,during,-0.258819,0.965926,0.974928,-0.222521,-0.5,-0.866025
Container,90645,CALLAO,HONG KONG,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA,68.33333333333333,12.15,0.35,during,-0.866025,-0.5,0.781831,0.62349,-0.5,-0.866025
Dry Bulk,35812,SAN LORENZO,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,64.08333333333333,9.56,3.505,during,-0.707107,-0.707107,-0.433884,-0.900969,-0.5,-0.866025
Container,92198,MEJILLONES,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,71.16666666666667,12.1,1.0,during,0.965926,-0.258819,-0.974928,-0.222521,-0.5,-0.866025
